province,municipality
Pinar del Río,Consolación del Sur
Pinar del Río,Guane
Pinar del Río,La Palma
Pinar del Río,Los Palacios
Pinar del Río,Mantua
Pinar del Río,Minas de Matahambre
Pinar del Río,Pinar del Río
Pinar del Río,Sandino
Pinar del Río,San Juan y Martínez
Pinar del Río,San Luis
Pinar del Río,Viñales
Artemisa,Alquízar
Artemisa,Artemisa
Artemisa,Bahía Honda
Artemisa,Bauta
Artemisa,Caimito
Artemisa,Candelaria
Artemisa,Guanajay
Artemisa,Güira de Melena
Artemisa,Mariel
Artemisa,San Antonio de los Baños
Artemisa,San Cristóbal
La Habana,Arroyo Naranjo
La Habana,Boyeros
La Habana,Centro Habana
La Habana,Cerro
La Habana,Cotorro
La Habana,Diez de Octubre
La Habana,Guanabacoa
La Habana,Habana del Este
La Habana,Habana Vieja
La Habana,La Lisa
La Habana,Marianao
La Habana,Playa
La Habana,Plaza de la Revolución
La Habana,Regla
La Habana,San Miguel del Padrón
Mayabeque,Batabanó
Mayabeque,Bejucal
Mayabeque,Güines
Mayabeque,Jaruco
Mayabeque,Madruga
Mayabeque,Melena del Sur
Mayabeque,Nueva Paz
Mayabeque,Quivicán
Mayabeque,San José de las Lajas
Mayabeque,San Nicolás de Bari
Mayabeque,Santa Cruz del Norte
Matanzas,Calimete
Matanzas,Cárdenas
Matanzas,Ciénaga de Zapata
Matanzas,Colón
Matanzas,Jagüey Grande
Matanzas,Jovellanos
Matanzas,Limonar
Matanzas,Los Arabos
Matanzas,Martí
Matanzas,Matanzas
Matanzas,Pedro Betancourt
Matanzas,Perico
Matanzas,Unión de Reyes
Matanzas,Varadero
Cienfuegos,Abreus
Cienfuegos,Aguada de Pasajeros
Cienfuegos,Cienfuegos
Cienfuegos,Cruces
Cienfuegos,Cumanayagua
Cienfuegos,Lajas
Cienfuegos,Palmira
Cienfuegos,Rodas
Villa Clara,Caibarién
Villa Clara,Camajuaní
Villa Clara,Cifuentes
Villa Clara,Corralillo
Villa Clara,Encrucijada
Villa Clara,Manicaragua
Villa Clara,Placetas
Villa Clara,Quemado de Güines
Villa Clara,Ranchuelo
Villa Clara,Remedios
Villa Clara,Sagua la Grande
Villa Clara,Santa Clara
Villa Clara,Santo Domingo
Sancti Spíritus,Cabaiguán
Sancti Spíritus,Fomento
Sancti Spíritus,Jatibonico
Sancti Spíritus,La Sierpe
Sancti Spíritus,Sancti Spíritus
Sancti Spíritus,Taguasco
Sancti Spíritus,Trinidad
Sancti Spíritus,Yaguajay
Ciego de Ávila,Baraguá
Ciego de Ávila,Bolivia
Ciego de Ávila,Chambas
Ciego de Ávila,Ciego de Ávila
Ciego de Ávila,Ciro Redondo
Ciego de Ávila,Florencia
Ciego de Ávila,Majagua
Ciego de Ávila,Morón
Ciego de Ávila,Primero de Enero
Ciego de Ávila,Venezuela
Camagüey,Camagüey
Camagüey,Carlos Manuel de Céspedes
Camagüey,Esmeralda
Camagüey,Florida
Camagüey,Guáimaro
Camagüey,Jimaguayú
Camagüey,Minas
Camagüey,Najasa
Camagüey,Nuevitas
Camagüey,Santa Cruz del Sur
Camagüey,Sibanicú
Camagüey,Sierra de Cubitas
Camagüey,Vertientes
Las Tunas,Amancio
Las Tunas,Colombia
Las Tunas,Jesús Menéndez
Las Tunas,Jobabo
Las Tunas,Las Tunas
Las Tunas,Majibacoa
Las Tunas,Manatí
Las Tunas,Puerto Padre
Holguín,Antilla
Holguín,Báguanos
Holguín,Banes
Holguín,Cacocum
Holguín,Calixto García
Holguín,Cueto
Holguín,Frank País
Holguín,Gibara
Holguín,Holguín
Holguín,Mayarí
Holguín,Moa
Holguín,Rafael Freyre
Holguín,Sagua de Tánamo
Holguín,Urbano Noris
Granma,Bartolomé Masó
Granma,Bayamo
Granma,Buey Arriba
Granma,Campechuela
Granma,Cauto Cristo
Granma,Guisa
Granma,Jiguaní
Granma,Manzanillo
Granma,Media Luna
Granma,Niquero
Granma,Pilón
Granma,Río Cauto
Granma,Yara
Santiago de Cuba,Contramaestre
Santiago de Cuba,Guamá
Santiago de Cuba,Mella
Santiago de Cuba,Palma Soriano
Santiago de Cuba,San Luis
Santiago de Cuba,Santiago de Cuba
Santiago de Cuba,Segundo Frente
Santiago de Cuba,Songo-La Maya
Santiago de Cuba,Tercer Frente
Guantánamo,Baracoa
Guantánamo,Caimanera
Guantánamo,El Salvador
Guantánamo,Guantánamo
Guantánamo,Imías
Guantánamo,Maisí
Guantánamo,Manuel Tames
Guantánamo,Niceto Pérez
Guantánamo,San Antonio del Sur
Guantánamo,Yateras
Isla de la Juventud,Isla de la Juventud
